"geoname","lntitle","geoid","lnnumber","tot_est","tot_moe","adu_est","adu_moe","cit_est","cit_moe","cvap_est","cvap_moe","cvap_tot","cvap_tot_moe","prc_cvap","prc_cvap_moe","prc_cvap_cv"
"Butte County, California","Hispanic or Latino","05000US06007",13,36360,0,25220,0,31570,573,20555,546,173840,633,0.118240911182697,0.0031111690977006,0.0159952100027954
"Calaveras County, California","American Indian or Alaska Native Alone","05000US06009",3,375,233,255,125,375,233,255,125,36165,498,0.00705101617586064,0.00345501646277905,0.297873938557493
"Calaveras County, California","Asian Alone","05000US06009",4,570,137,490,93,465,116,385,90,36165,498,0.0106456518733582,0.00248427259421908,0.141860369273174
"Calaveras County, California","Black or African American Alone","05000US06009",5,300,144,275,147,300,144,275,147,36165,498,0.00760403705239873,0.00406335453122376,0.324843805740165
"Calaveras County, California","Native Hawaiian or Other Pacific Islander Alone","05000US06009",6,125,41,45,28,125,41,45,28,36165,498,0.0012442969722107,0.000774039607449693,0.378157952089404
"Calaveras County, California","American Indian or Alaska Native and White","05000US06009",8,875,249,755,176,875,249,755,176,36165,498,0.0208765380893129,0.00485808557375732,0.141462319913793
"Calaveras County, California","Asian and White","05000US06009",9,330,141,160,89,330,141,160,89,36165,498,0.00442416701230471,0.00246018871229068,0.338042267401187
"Calaveras County, California","Black or African American and White","05000US06009",10,230,143,130,85,230,143,130,85,36165,498,0.00359463569749758,0.0023498174354896,0.397386708227643
"Calaveras County, California","American Indian or Alaska Native and Black or African American","05000US06009",11,20,38,20,38,20,38,20,38,36165,498,0.000553020876538089,0.00105071206947047,1.15498486299087
"Calaveras County, California","Remainder of Two or More Race Responses","05000US06009",12,140,113,120,98,140,113,120,98,36165,498,0.00331812525922854,0.00270941705575016,0.496383322295868
"Calaveras County, California","Hispanic or Latino","05000US06009",13,5295,0,3860,0,4765,331,3335,329,36165,498,0.0922162311627264,0.0090081318890095,0.0593829085030789
"Colusa County, California","American Indian or Alaska Native Alone","05000US06011",3,190,69,135,53,190,69,135,53,12370,311,0.0109135004042037,0.00427576475286629,0.238168231421619
"Colusa County, California","Asian Alone","05000US06011",4,325,53,300,63,290,76,260,83,12370,311,0.021018593371059,0.00668894040649644,0.193458482179942
"Colusa County, California","Black or African American Alone","05000US06011",5,275,22,210,48,275,22,210,48,12370,311,0.0169765561843169,0.00385681070268965,0.138106088847217
"Colusa County, California","Native Hawaiian or Other Pacific Islander Alone","05000US06011",6,55,36,55,36,40,35,40,35,12370,311,0.00323362974939369,0.00282825781435107,0.53169527604138
"Colusa County, California","American Indian or Alaska Native and White","05000US06011",8,205,71,145,58,205,71,145,58,12370,311,0.0117219078415521,0.00467949229289265,0.242680304635078
"Colusa County, California","Asian and White","05000US06011",9,30,37,25,25,30,37,25,25,12370,311,0.00202101859337106,0.00202037975596568,0.607710579484389
"Colusa County, California","Black or African American and White","05000US06011",10,15,24,15,24,15,24,15,24,12370,311,0.00121261115602264,0.00193993830868464,0.972524290919106
"Colusa County, California","American Indian or Alaska Native and Black or African American","05000US06011",11,4,17,4,17,4,17,4,17,12370,311,0.000323362974939369,0.00137426859673368,2.58354141969538
"Colusa County, California","Remainder of Two or More Race Responses","05000US06011",12,40,41,10,20,40,41,10,20,12370,311,0.000808407437348424,0.00161668712236205,1.21570940447529
"Colusa County, California","Hispanic or Latino","05000US06011",13,12655,0,8315,0,9375,344,5195,300,12370,311,0.419967663702506,0.0218331442418816,0.0316034524981146
"Contra Costa County, California","American Indian or Alaska Native Alone","05000US06013",3,2455,355,1970,255,2425,360,1935,263,752720,3092,0.00257067701137209,0.000349239903345883,0.0825867628147351
"Contra Costa County, California","Asian Alone","05000US06013",4,183960,1909,146760,1223,145225,2149,111605,1585,752720,3092,0.148268944627484,0.00201569119097323,0.00826433473388557
"Contra Costa County, California","Black or African American Alone","05000US06013",5,94690,1472,73460,992,91505,1468,70780,1037,752720,3092,0.094032309490913,0.00132241308881626,0.00854917356158836
"Contra Costa County, California","Native Hawaiian or Other Pacific Islander Alone","05000US06013",6,5280,356,3880,264,4445,355,3110,276,752720,3092,0.00413168243171432,0.000366277208870269,0.0538911014886441
"Contra Costa County, California","American Indian or Alaska Native and White","05000US06013",8,5185,355,4025,255,5175,354,4015,253,752720,3092,0.00533398873419067,0.000335399432230771,0.0382247212207635
"Contra Costa County, California","Asian and White","05000US06013",9,23975,1690,12700,1101,22970,1572,11810,1005,752720,3092,0.0156897651185036,0.00133360137625114,0.0516706221316619
"Contra Costa County, California","Black or African American and White","05000US06013",10,9535,1039,4860,620,9480,1033,4830,621,752720,3092,0.00641672866404506,0.000824586796523095,0.0781190222556419
"Contra Costa County, California","American Indian or Alaska Native and Black or African American","05000US06013",11,2175,585,1930,491,2175,585,1930,491,752720,3092,0.00256403443511532,0.000652215951001586,0.154632814349627
"Contra Costa County, California","Remainder of Two or More Race Responses","05000US06013",12,12365,1316,7645,842,12010,1277,7350,801,752720,3092,0.00976458709745988,0.0010633845016447,0.0662019132045572
"Contra Costa County, California","Hispanic or Latino","05000US06013",13,288100,0,196855,0,219640,1919,132925,1717,752720,3092,0.176592889786375,0.0021626438901987,0.00744467763390291
"Del Norte County, California","American Indian or Alaska Native Alone","05000US06015",3,1845,229,1265,149,1715,210,1205,137,20610,235,0.0584667637069384,0.00661374498326399,0.068765798082998
"Del Norte County, California","Asian Alone","05000US06015",4,950,130,620,49,835,126,505,69,20610,235,0.0245026686074721,0.00333621150727938,0.0827702538927177
"Del Norte County, California","Black or African American Alone","05000US06015",5,770,201,675,165,770,201,675,165,20610,235,0.0327510917030568,0.00799710813083545,0.148436698031312
"Del Norte County, California","Native Hawaiian or Other Pacific Islander Alone","05000US06015",6,15,20,15,20,15,20,15,20,20610,235,0.000727802037845706,0.000970367233156552,0.810507342466324
"Del Norte County, California","American Indian or Alaska Native and White","05000US06015",8,720,237,495,153,720,237,495,153,20610,235,0.0240174672489083,0.00741852791110972,0.187769316567464
"Del Norte County, California","Asian and White","05000US06015",9,165,129,50,49,130,124,35,45,20610,235,0.00169820475497331,0.0021833202509702,0.781558495397234
"Del Norte County, California","Black or African American and White","05000US06015",10,265,201,90,89,265,201,90,89,20610,235,0.00436681222707424,0.00431800502558577,0.601108298394615
"Del Norte County, California","American Indian or Alaska Native and Black or African American","05000US06015",11,10,20,4,4,10,20,4,4,20610,235,0.000194080543425522,0.000194067926723058,0.607863217289093
"Del Norte County, California","Remainder of Two or More Race Responses","05000US06015",12,45,39,35,36,45,39,35,36,20610,235,0.00169820475497331,0.0017466175614339,0.625232964674819
"Del Norte County, California","Hispanic or Latino","05000US06015",13,5340,0,3875,0,4780,140,3365,123,20610,235,0.16327025715672,0.0056701871792538,0.0211117588558098
"El Dorado County, California","American Indian or Alaska Native Alone","05000US06017",3,940,308,755,243,905,292,725,236,141080,778,0.00513892826764956,0.00167256968878905,0.197854423389044
"El Dorado County, California","Asian Alone","05000US06017",4,8245,403,6490,273,6615,437,4940,365,141080,778,0.035015593989226,0.00257996851906826,0.0447906130305491
"El Dorado County, California","Black or African American Alone","05000US06017",5,1455,203,1160,144,1430,208,1135,152,141080,778,0.0080450808052169,0.0010764890624229,0.0813417119969061
"El Dorado County, California","Native Hawaiian or Other Pacific Islander Alone","05000US06017",6,395,127,280,70,300,78,185,31,141080,778,0.00131131273036575,0.000219614461176653,0.101809605463903
"El Dorado County, California","American Indian or Alaska Native and White","05000US06017",8,2300,309,1800,244,2290,306,1795,241,141080,778,0.0127232775730082,0.00170680909364107,0.0815492636353537
"El Dorado County, California","Asian and White","05000US06017",9,1915,363,855,244,1900,365,845,239,141080,778,0.00598950949815707,0.00169375225905508,0.171906669813486
"El Dorado County, California","Black or African American and White","05000US06017",10,840,202,440,144,815,198,415,142,141080,778,0.00294159342217182,0.00100639039468245,0.207978257416487
"El Dorado County, California","American Indian or Alaska Native and Black or African American","05000US06017",11,0,29,0,29,0,29,0,29,141080,778,0,0.000205557130705982,Inf
"El Dorado County, California","Remainder of Two or More Race Responses","05000US06017",12,670,253,475,180,635,248,440,173,141080,778,0.00311879784519422,0.00122613398894507,0.238992792429359
"El Dorado County, California","Hispanic or Latino","05000US06017",13,23630,0,16005,0,20255,538,12730,525,141080,778,0.0902324922030054,0.00368787455001746,0.0248454738712356
"Fresno County, California","American Indian or Alaska Native Alone","05000US06019",3,4480,432,3335,329,4435,430,3295,327,581040,2814,0.00567086603331957,0.000562113437745739,0.0602571625734459
"Fresno County, California","Asian Alone","05000US06019",4,98770,978,72350,614,80935,1444,56445,1115,581040,2814,0.0971447748864106,0.00186040565423175,0.0116418581214014
"Fresno County, California","Black or African American Alone","05000US06019",5,44750,835,32180,464,44135,916,31620,499,581040,2814,0.0544196612969847,0.000817363919872557,0.00913048245796398
"Fresno County, California","Native Hawaiian or Other Pacific Islander Alone","05000US06019",6,1115,229,890,151,895,197,705,142,581040,2814,0.00121334159438249,0.000244318714177503,0.122407420453725
"Fresno County, California","American Indian or Alaska Native and White","05000US06019",8,4945,437,3840,329,4920,433,3815,334,581040,2814,0.00656581302492083,0.000573951149121882,0.0531398735093481
"Fresno County, California","Asian and White","05000US06019",9,6350,849,3210,524,5930,790,2805,444,581040,2814,0.00482755059892606,0.000763789292646459,0.0961791266354152
"Fresno County, California","Black or African American and White","05000US06019",10,4170,677,1980,314,3995,648,1815,285,581040,2814,0.00312370921106981,0.000490266441319534,0.0954103889620613
"Fresno County, California","American Indian or Alaska Native and Black or African American","05000US06019",11,590,154,490,127,590,154,490,127,581040,2814,0.000843315434393501,0.000218535430590495,0.157530955387757
"Fresno County, California","Remainder of Two or More Race Responses","05000US06019",12,3880,729,2330,490,3765,721,2215,483,581040,2814,0.00381212997384001,0.000831063023773812,0.132525776676991
"Fresno County, California","Hispanic or Latino","05000US06019",13,515905,0,336785,0,414665,2859,241755,2593,581040,2814,0.416072903758777,0.00398184917577365,0.00581767518307966
"Glenn County, California","American Indian or Alaska Native Alone","05000US06021",3,415,105,330,76,415,105,330,76,16890,482,0.019538188277087,0.00446502499651277,0.13892285565276
"Glenn County, California","Asian Alone","05000US06021",4,820,51,585,44,475,173,235,175,16890,482,0.0139135583185317,0.0103535496143219,0.452360998476096
"Glenn County, California","Black or African American Alone","05000US06021",5,225,80,195,48,170,126,140,87,16890,482,0.00828892835997632,0.0051455426408064,0.377369584034824
"Glenn County, California","Native Hawaiian or Other Pacific Islander Alone","05000US06021",6,15,25,15,25,15,25,15,25,16890,482,0.00088809946714032,0.00147994878369215,1.01302269327499
"Glenn County, California","American Indian or Alaska Native and White","05000US06021",8,235,106,145,74,235,106,145,74,16890,482,0.00858496151568976,0.0043744355175111,0.309754599688764
"Glenn County, California","Asian and White","05000US06021",9,40,44,30,39,40,44,30,39,16890,482,0.00177619893428064,0.0023085021911919,0.79008312075443
"Glenn County, California","Black or African American and White","05000US06021",10,105,82,4,4,105,82,4,4,16890,482,0.000236826524570752,0.000236730069831309,0.607655148852705
"Glenn County, California","American Indian or Alaska Native and Black or African American","05000US06021",11,25,29,25,29,25,29,25,29,16890,482,0.0014801657785672,0.00171647263884318,0.704953747600276
"Glenn County, California","Remainder of Two or More Race Responses","05000US06021",12,4,13,4,3,4,13,4,3,16890,482,0.000236826524570752,0.000177491266724512,0.455596883735109
"Glenn County, California","Hispanic or Latino","05000US06021",13,11505,0,7405,0,8385,430,4395,401,16890,482,0.260213143872114,0.022550665432425,0.0526822396483512
"Humboldt County, California","American Indian or Alaska Native Alone","05000US06023",3,5945,502,4515,349,5940,503,4515,349,105400,558,0.0428368121442125,0.00330342015132089,0.0468792621621574
"Humboldt County, California","Asian Alone","05000US06023",4,4050,312,2895,196,3350,391,2220,267,105400,558,0.0210626185958254,0.00253075143375408,0.0730417593903666
"Humboldt County, California","Black or African American Alone","05000US06023",5,1340,206,1305,200,1310,206,1275,200,105400,558,0.0120967741935484,0.00189645219444904,0.0953029674211472
"Humboldt County, California","Native Hawaiian or Other Pacific Islander Alone","05000US06023",6,370,134,355,139,370,134,355,139,105400,558,0.00336812144212524,0.00131866502566341,0.238002129722888
"Humboldt County, California","American Indian or Alaska Native and White","05000US06023",8,3535,517,2410,378,3535,517,2410,378,105400,558,0.022865275142315,0.00358429422343942,0.0952930699467806
"Humboldt County, California","Asian and White","05000US06023",9,985,270,640,179,985,270,640,179,105400,558,0.00607210626185958,0.00169798794783076,0.169992334442783
"Humboldt County, California","Black or African American and White","05000US06023",10,1235,209,535,203,1235,209,535,203,105400,558,0.00507590132827324,0.00192580872739911,0.230639706693028
"Humboldt County, California","American Indian or Alaska Native and Black or African American","05000US06023",11,305,241,195,145,305,241,195,145,105400,558,0.00185009487666034,0.00137567670725312,0.452018782462719
"Humboldt County, California","Remainder of Two or More Race Responses","05000US06023",12,990,308,590,177,970,306,565,171,105400,558,0.00536053130929791,0.00162214266394819,0.183956571837577
"Humboldt County, California","Hispanic or Latino","05000US06023",13,15360,0,10435,0,12565,473,7880,424,105400,558,0.0747628083491461,0.00400325137638629,0.0325507764700843
"Imperial County, California","American Indian or Alaska Native Alone","05000US06025",3,1075,185,825,144,1075,185,825,144,102620,1133,0.00803936854414344,0.00140042518539134,0.105894175204833
"Imperial County, California","Asian Alone","05000US06025",4,2380,181,1900,91,1530,262,1185,198,102620,1133,0.0115474566361333,0.00192523167845208,0.101351634459493
"Imperial County, California","Black or African American Alone","05000US06025",5,3915,337,3670,250,3875,340,3635,252,102620,1133,0.0354219450399532,0.0024243199736526,0.0416055849615114
"Imperial County, California","Native Hawaiian or Other Pacific Islander Alone","05000US06025",6,305,181,285,169,305,181,285,169,102620,1133,0.00277723640615864,0.00164656698621871,0.360413169361199
"Imperial County, California","American Indian or Alaska Native and White","05000US06025",8,605,191,430,148,605,191,430,148,102620,1133,0.00419021633209901,0.00144147179371083,0.209123963342907
"Imperial County, California","Asian and White","05000US06025",9,210,183,110,93,200,179,100,83,102620,1133,0.000974468914441629,0.000808737638231604,0.504514628786183
"Imperial County, California","Black or African American and White","05000US06025",10,550,313,270,199,550,313,270,199,102620,1133,0.0026310660689924,0.00193897555290602,0.447996558007916
"Imperial County, California","American Indian or Alaska Native and Black or African American","05000US06025",11,60,41,60,41,60,41,60,41,102620,1133,0.000584681348664978,0.000399480101742367,0.415345978123625
"Imperial County, California","Remainder of Two or More Race Responses","05000US06025",12,175,143,85,69,170,144,80,69,102620,1133,0.000779575131553303,0.000672328459734762,0.52427314998466
"Imperial County, California","Hispanic or Latino","05000US06025",13,151020,0,104310,0,124030,1242,79390,1097,102620,1133,0.773630871175209,0.00642791390746636,0.005050918459823
"Inyo County, California","American Indian or Alaska Native Alone","05000US06027",3,1945,54,1415,48,1945,55,1415,48,13660,168,0.103587115666179,0.00327483132274895,0.0192184028563913
"Inyo County, California","Asian Alone","05000US06027",4,290,62,285,67,200,51,195,48,13660,168,0.0142752562225476,0.00350952052551407,0.14945070650307
"Inyo County, California","Black or African American Alone","05000US06027",5,160,37,155,40,160,37,155,40,13660,168,0.0113469985358712,0.00292493042712524,0.15669987110317
"Inyo County, California","Native Hawaiian or Other Pacific Islander Alone","05000US06027",6,35,5,30,6,35,5,30,6,13660,168,0.00219619326500732,0.000438407389184945,0.12135045463559
"Inyo County, California","American Indian or Alaska Native and White","05000US06027",8,160,54,125,48,160,54,125,48,13660,168,0.00915080527086384,0.00351210651066538,0.233314893304263
"Inyo County, California","Asian and White","05000US06027",9,75,62,35,33,75,62,35,33,13660,168,0.00256222547584187,0.00241560706062258,0.573116673002249
"Inyo County, California","Black or African American and White","05000US06027",10,60,35,20,32,60,35,20,32,13660,168,0.00146412884333821,0.00234253694188312,0.972615642131411
"Inyo County, California","American Indian or Alaska Native and Black or African American","05000US06027",11,0,19,0,19,0,19,0,19,13660,168,0,0.0013909224011713,Inf
"Inyo County, California","Remainder of Two or More Race Responses","05000US06027",12,20,19,20,18,10,11,10,13,13660,168,0.000732064421669107,0.000951641158641029,0.790238190093402
"Inyo County, California","Hispanic or Latino","05000US06027",13,3925,0,2490,0,3300,160,1870,160,13660,168,0.136896046852123,0.0115913951836241,0.0514729314917364
"Kern County, California","American Indian or Alaska Native Alone","05000US06029",3,4240,502,3280,351,4235,500,3270,350,515640,2584,0.00634163369792879,0.000678023776486269,0.0649946887719026
"Kern County, California","Asian Alone","05000US06029",4,41225,912,31645,585,30305,1342,22410,968,515640,2584,0.0434605538747964,0.00186460242640479,0.0260810508539085
"Kern County, California","Black or African American Alone","05000US06029",5,45420,884,33295,537,44885,952,32815,612,515640,2584,0.0636393607943526,0.00114322612136061,0.0109204473122721
"Kern County, California","Native Hawaiian or Other Pacific Islander Alone","05000US06029",6,1175,161,895,80,1095,194,810,114,515640,2584,0.00157086339306493,0.000220944287190608,0.0855024295447974
"Kern County, California","American Indian or Alaska Native and White","05000US06029",8,5360,504,4245,366,5360,503,4240,364,515640,2584,0.0082227910945621,0.00070471516444246,0.0520988884832698
"Kern County, California","Asian and White","05000US06029",9,3900,880,2290,524,3820,876,2205,519,515640,2584,0.00427623923667675,0.00100628802732992,0.14305215651425
"Kern County, California","Black or African American and White","05000US06029",10,4485,782,1770,484,4480,782,1765,484,515640,2584,0.0034229307268637,0.000938482615127062,0.166671836077777
"Kern County, California","American Indian or Alaska Native and Black or African American","05000US06029",11,555,183,530,178,555,183,530,178,515640,2584,0.00102784888682026,0.000345163648903362,0.204140831473911
"Kern County, California","Remainder of Two or More Race Responses","05000US06029",12,2720,522,1600,355,2700,519,1580,353,515640,2584,0.00306415328523776,0.000684413915164657,0.135782075031936
"Kern County, California","Hispanic or Latino","05000US06029",13,465840,0,299870,0,364510,2336,203105,2191,515640,2584,0.393889147467225,0.00376278695512183,0.00580723916377277
"Kings County, California","American Indian or Alaska Native Alone","05000US06031",3,1240,161,870,125,1240,161,870,125,93040,1039,0.00935081685296647,0.00133944394231618,0.0870781290522287
"Kings County, California","Asian Alone","05000US06031",4,5735,393,4560,260,4800,377,3760,280,93040,1039,0.0404127257093723,0.00297542750129593,0.0447574491884779
"Kings County, California","Black or African American Alone","05000US06031",5,8890,420,7385,332,8770,420,7265,336,93040,1039,0.0780846947549441,0.00350449440682311,0.0272830897701075
"Kings County, California","Native Hawaiian or Other Pacific Islander Alone","05000US06031",6,285,94,210,61,200,66,125,63,93040,1039,0.00134350816852966,0.000676961881052327,0.306307761279555
"Kings County, California","American Indian or Alaska Native and White","05000US06031",8,615,157,500,125,615,157,500,125,93040,1039,0.00537403267411866,0.00134216713761133,0.151823988429614
"Kings County, California","Asian and White","05000US06031",9,1180,374,635,230,1170,377,625,230,93040,1039,0.00671754084264832,0.00247091655323107,0.223605180413489
"Kings County, California","Black or African American and White","05000US06031",10,950,366,560,279,950,366,560,279,93040,1039,0.0060189165950129,0.00299795684466917,0.302789736026943
"Kings County, California","American Indian or Alaska Native and Black or African American","05000US06031",11,140,76,140,76,140,76,140,76,93040,1039,0.00150472914875322,0.000816680112071052,0.329934509887498
"Kings County, California","Remainder of Two or More Race Responses","05000US06031",12,590,223,435,175,590,223,435,175,93040,1039,0.00467540842648323,0.00188018663934755,0.244464332774197
"Kings County, California","Hispanic or Latino","05000US06031",13,81155,0,53935,0,65815,1082,39615,999,93040,1039,0.425784608770421,0.0096271226100478,0.0137448701754209
"Lake County, California","American Indian or Alaska Native Alone","05000US06033",3,2100,169,1435,151,2100,169,1435,151,47800,376,0.0300209205020921,0.00315015694353309,0.0637884845433345
"Lake County, California","Asian Alone","05000US06033",4,735,202,600,144,635,190,500,131,47800,376,0.0104602510460251,0.00273935031425859,0.159198717351441
"Lake County, California","Black or African American Alone","05000US06033",5,1460,105,1135,42,1455,104,1130,42,47800,376,0.0236401673640167,0.000858758188146021,0.0220828153930547
"Lake County, California","Native Hawaiian or Other Pacific Islander Alone","05000US06033",6,30,31,30,31,30,31,30,31,47800,376,0.000627615062761506,0.000648516773887341,0.628147959307293
"Lake County, California","American Indian or Alaska Native and White","05000US06033",8,690,159,585,142,690,159,585,142,47800,376,0.0122384937238494,0.00296915102815469,0.147481795802659
"Lake County, California","Asian and White","05000US06033",9,385,207,230,146,385,207,230,146,47800,376,0.00481171548117155,0.00305415878457084,0.385856455405012
"Lake County, California","Black or African American and White","05000US06033",10,140,102,35,35,140,102,35,35,47800,376,0.000732217573221757,0.000732194919645797,0.607883928077622
"Lake County, California","American Indian or Alaska Native and Black or African American","05000US06033",11,55,46,50,45,55,46,50,45,47800,376,0.00104602510460251,0.000941386635954699,0.547091564725041
"Lake County, California","Remainder of Two or More Race Responses","05000US06033",12,80,56,60,49,80,56,60,49,47800,376,0.00125523012552301,0.00102505704944721,0.496430870958223
"Lake County, California","Hispanic or Latino","05000US06033",13,12830,0,8220,0,10210,383,5705,360,47800,376,0.119351464435146,0.00747263616602478,0.0380609989888872
"Lassen County, California","American Indian or Alaska Native Alone","05000US06035",3,860,106,710,78,860,106,710,78,25145,168,0.0282362298667727,0.00309626642179245,0.0666600617971412
"Lassen County, California","Asian Alone","05000US06035",4,475,37,455,44,315,56,295,53,25145,168,0.0117319546629549,0.00210631692395678,0.109140876931417
"Lassen County, California","Black or African American Alone","05000US06035",5,2700,47,2685,51,2700,61,2685,64,25145,168,0.106780672101809,0.00244320582597422,0.0139091792167727
"Lassen County, California","Native Hawaiian or Other Pacific Islander Alone","05000US06035",6,205,75,155,54,155,75,105,63,25145,168,0.00417578047325512,0.00250531294328804,0.364719027118123
"Lassen County, California","American Indian or Alaska Native and White","05000US06035",8,370,105,240,77,370,105,240,77,25145,168,0.00954464108172599,0.00306157494580363,0.194993166191064
